Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/hani-alsaleh,Hani Alsaleh,CEO,Riyadh,Saudi Arabia,"14,787",Hani,Alsaleh,Male,"Hani Al Saleh is the Chief Executive Officer of Arabian Hala leading provider of Logistics services in the Kingdom of Saudi Arabia. He also manages the family�s investments and sits on the board of a number of companies including a publicly listed company. He has been the key initiator of multiple investments including Naqel Co. and Hala Supply Chains. He has a long history of achievements, investments, and operational experience and is considered to be proficient in managing complexity, building teams, and creating successful businesses.

He has a long history of achievements, investments, and operational experience and is considered to be proficient in managing complexity, building teams, and creating successful businesses. Hani Alsaleh earned a Bachelor�s Degree in Financial Management from King Saud University in 1994. He later received an MBA from Babson College in the USA in 2001 with honors (Magna Cum Laude). He believes in constant development and has been participating in multiple courses with distinguished schools including IESE, IMD, LBS, and HBS. He also participated in numerous workshops and seminars in different fields.

After graduating in 1994, Hani Alsaleh worked as a Project Manager in the Saudi Industrial Development Fund. After his MBA, he joined Arabian Hala Co.in 2001 where he was promoted to CEO in 2002.He later managed Naqel Co. after spinning it out of Arabian Hala as a JV with the government from 2005 till 2011.

Hani Alsaleh also serves on various boards as a member and also Director of said boards. Arabian Hala acts as an umbrella company, which oversees and owns various companies in the country of Saudi Arabia and beyond. Currently, Hani is the Director of the Board for Alujain Corp., Tire Service Center Co. and Health Water Bottling Co (NOVA). Ranging from transportation to healthy water, Hani Alsaleh has input in many of the most successful industries in the world. Additionally, Hani serves as the Director for the Board of Naqel, a company owned by Hala. Naqel is one of the leading Logistics and Transport companies in Middle East. With over 4900 cities, towns, and villages in its network, Naqel is able to provide express transport for all of their clientele.",Arabian Hala Co.,https://www.linkedin.com/in/hani-alsaleh-892b2013/
https://www.crunchbase.com/person/naif-sultan-al-athel,Naif Sultan Al-Athel,�,Saudi Arabia,,"14,930",Naif Sultan,Al-Athel,Male,Naef Sultan AlAthel is the Chairman and Chief Executive Officer of SMSA Express Transportation Co Ltd.,,https://www.linkedin.com/in/naif-sultan-al-athel-b6aba6150/
https://www.crunchbase.com/person/amin-nasser,Amin Nasser,President & chief executive officer,Dhahran,Saudi Arabia,"15,201",Amin,Nasser,Male,"Nasser joined the company after graduating with a bachelor's degree in petroleum engineering from King Fahd University of Petroleum and Minerals in Dhahran in 1982.

From November 1982 to February 1991, he had various assignments with the Production Engineering, Drilling and Reservoir Management departments. From March 1991 to May 1997, Nasser held various supervisory positions in the Engineering and Producing departments.

Nasser became manager of the Ras Tanura Producing Department in June 1997. He also was manager of the Northern Area Producing Engineering Department, Safaniya Offshore Producing Department and the Safaniya Onshore Producing Department. Nasser was appointed chief petroleum engineer in April 2004 and executive director of Petroleum Engineering and Development in May 2005.

He was named vice president of Petroleum Engineering and Development in April 2006 and then as acting business line head of Exploration and Producing (E&P) in August 2007. In January 2008, he was named business line head of E&P, and five months later he became E&P's senior vice president.

Nasser has had various developmental assignments, including the Saudi Aramco Leadership Development Seminar in Washington, D.C., in 1999, Saudi Aramco Global Business Program in 2000, and the Senior Executive Program at Columbia University in 2002.

He is also a longtime member of the Society of Petroleum Engineers (SPE), and in early 2008, he was elected a member of the SPE Industry Advisory Council.",Saudi Aramco,https://www.linkedin.com/pub/amin-al-nasser/5a/743/a25
https://www.crunchbase.com/person/abdulmajeed-alsukhan,Abdulmajeed Alsukhan,Co Founder,Riyadh,Saudi Arabia,"15,878",Abdulmajeed,Alsukhan,Male,Abdulmajeed Alsukhan is the Chief Executive Officer and Co-Founder of Tamara.,Nana,https://www.linkedin.com/in/abdulmajeed-alsukhan-13000a58/
https://www.crunchbase.com/person/mishaal-alireza,Mishaal Alireza,Board Member,Saudi Arabia,,"19,289",Mishaal,Alireza,Male,�,DokkanAfkar,https://www.linkedin.com/in/mishaal-alireza-0014081
https://www.crunchbase.com/person/yasser-al-kadi,Yasser Al Kadi,Founding Partner,Riyadh,Saudi Arabia,"19,839",Yasser,Al Kadi,Male,"Mr. Yasser Al Kadi the CEO of Kadi Group Holding and the Managing Director of Zajil. He is a member of several boards of directors, including Derayah Financial and Bahri Company. He is also a member of the Logistic Committee in the Eastern Province Chamber, and a member of the Oqal Group Board of Trustees.

Mr.Yasser has completed his Bachelors degree in Finance and MBA from the University of Portland. Additionally, he completed a range of executive degrees at various universities, including Harvard, INSEAD and London Business School.",Khwarizmi Ventures,https://www.linkedin.com/in/yasseralkadi/
https://www.crunchbase.com/person/mohammed-aldossary,Mohammed Aldossary,Co- Founder and CEO,Saudi Arabia,,"20,699",Mohammed,Aldossary,Male,"Mohammed is an ex-GM in Careem where he led the development of delivery vertical in KSA and overseen the launch of CareemNOW, and then led Circ (formerly ""Flash"") in shaping KSA strategy for micro-mobility industry. Mohammed today leverages his experience in fast-growing tech to reshape the wholesale industry via Sary.",Sary,https://www.linkedin.com/in/mdossary/
https://www.crunchbase.com/person/musab-alothmani,Musab Alothmani,CTO & Co-Founder,Riyadh,Saudi Arabia,"20,938",Musab,Alothmani,Male,�,Foodics,https://www.linkedin.com/in/malothmani/
https://www.crunchbase.com/person/nouf-al-haqbani,Nouf Al Haqbani,�,Saudi Arabia,,"21,697",Nouf,Al Haqbani,Female,Nouf Al Haqbani is the chief executive officer at Dar Bedaya Group.,,
https://www.crunchbase.com/person/bader-abdullah-alissa,Bader Abdullah Alissa,Vice Chairman of the Board,Jeddah,Saudi Arabia,"21,805",Bader Abdullah,Alissa,Male,�,Savola Group,https://www.linkedin.com/in/bader-alissa-cfa-92131a28/
