Full Name,Full Name URL,Primary Job Title,Primary Organization,Primary Organization URL,Location,CB Rank (Person),LinkedIn,First Name,Last Name,Gender,Current Organizations,Twitter,Biography,Regions,Facebook,Schools Attended,Number of Founded Organizations,Number of News Articles
Ali Adnan Ibrahim,https://www.crunchbase.com/person/ali-adnan-ibrahim,First Vice-President,Al Baraka Banking Group,https://www.crunchbase.com/organization/al-baraka-banking-group,"Bahrain, Asia","341,453",https://bh.linkedin.com/in/dr-ali-adnan-ibrahim-28b44938,Ali Adnan,Ibrahim,Male,Al Baraka Banking Group,,"LLB (Hons) in Shariah and Law, International Islamic University, Islamabad, Pakistan; LLM, Washington University School of Law, specializing in securities regulation and comparative corporate governance; SJD (Hons) in International Financial Regulation, Fullbright Scholar, Georgetown University Law Center. Former Counsel, law firm Baker & McKenzie. Currently, First Vice-President, Al Baraka Banking Group, Bahrain, the world's largest Islamic banking network; specializes in market-based strategies for inclusive economic growth and development, Islamic micro and SME finance, corporate sustainability, M&A and Shariah-structuring. Adjunct Professor of Law, Georgetown University, Washington DC. Has served twice as Co-Chair, Islamic Finance Committee, American Bar Association, and as its Senior Adviser. Member of the Bar, Pakistan. Advocate, Supreme Court of Azad Jammu and Kashmir.",Gulf Cooperation Council (GCC),,,,
Khalifa Al Jalahma,https://www.crunchbase.com/person/khalifa-al-jalahma,Vice President,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","343,428",https://www.linkedin.com/in/khalifa-al-jalahma-a7ab96b7/,Khalifa,Al Jalahma,Male,Investcorp,,"Khalifa Al Jalahma joined Investcorp in 2010 from Citigroup in Dubai, UAE, where he was an Analyst in the Investment Banking team focusing on M&A advisory. Khalifa holds an MBA in Finance and a BS in Corporate Finance & Accounting from Bentley University in Boston.",Gulf Cooperation Council (GCC),,Bentley University,,
Yousif Khalaf,https://www.crunchbase.com/person/yousif-khalaf,Chief Legal Advisor,Bahrain Economic Development Board,https://www.crunchbase.com/organization/bahrain-economic-development-board,"Bahrain, Asia","357,965",https://www.linkedin.com/in/yousif-khalaf-87216082/,Yousif,Khalaf,Male,Bahrain Economic Development Board,,,Gulf Cooperation Council (GCC),,,,
Ryan Andrews,https://www.crunchbase.com/person/ryan-andrews-2,VP Growth,Eat,https://www.crunchbase.com/organization/eat,"Bahrain, Asia","362,938",,Ryan,Andrews,Male,Eat,,,Gulf Cooperation Council (GCC),,,,1
Khalid Dannish,https://www.crunchbase.com/person/khalid-dannish,,,,"Manama, Al Manamah, Bahrain","363,059",https://www.linkedin.com/in/khaliddannish/,Khalid,Dannish,Male,Bahrain FinTech Bay,,"Khalid has 7 years of international experience in investment banking risk management focusing on market risk at J.P. Morgan and Barclays Capital in London, and ABC in Bahrain. Most recently he was Vice President in the firm wide market risk team at J.P. Morgan overseeing all spread and macro businesses, leading teams in London and New York. He was engaged in strategic risk technology projects including the migration to a new risk analytics cross-platform suite and leading one of the first pilot applications of the robotics initiatives, promising opportunities to drive new value through automation and insight. Prior to J.P. Morgan, he was leading business analysis and project management delivery for the FX business, facilitating flow and exotics enhancement programmes at Barclays Capital. He has also worked for an investment advisory delivering fund performance analysis and recommendations to assist in advisory decisions for institutional clients seeking investment manager and cross asset class fund selection.",Gulf Cooperation Council (GCC),,Cass Business School,,
Adel Ellabban,https://www.crunchbase.com/person/adel-ellabban,Group Chief Executive Officer and Managing Director,Ahli United Bank,https://www.crunchbase.com/organization/ahli-united-bank,"Bahrain, Asia","375,888",https://www.linkedin.com/in/adel-ellabban-648a827b/,Adel,Ellabban,Male,Ahli United Bank,,"Director since 30 July 2000. Holds a Masters in Economics (Highest Honors) from the American University, Cairo, 1980, Bachelors in Economics (Highest Honors) from American University, Cairo, 1977 and a General Certificate of Education from London University, 1973. Group Chief Executive Officer & Managing Director, Ahli United Bank BSC, Bahrain; First Deputy Chairman, Ahli Bank SAOG, Oman; Deputy Chairman, Commercial Bank of Iraq,; Deputy Chairman, United Bank for Commerce & Investment S.A.C. Libya; Deputy Chairman, Middle East Financial Investment Co., Saudi Arabia; Director, Ahli United Bank (UK) Plc; Director, Ahli United Bank KSCP, Kuwait; Director, Ahli United Bank Limited, UAE; Director Bahrain Association of Banks, Bahrain; Formerly : Deputy Chairman, Ahli United Bank (Egypt), Chief Executive Officer and Director, United Bank of Kuwait PLC, UK; Managing Director, Commercial International Bank (Egypt) SAE; Chairman, Commercial International Investment Company, Egypt; Vice President, Corporate Finance, Morgan Stanley, USA; Assistant Vice President, Arab Banking Corporation, Bahrain; Director, Bahrain Stock Exchange; Director, Kuwait & Middle East Financial Investment Co, Kuwait",Gulf Cooperation Council (GCC),,,,
Nabeel Radhi,https://www.crunchbase.com/person/nabeel-radhi,,,,"Bahrain, Asia","382,257",https://www.linkedin.com/in/nabeel-radhi-478b8249/,Nabeel,Radhi,Male,Faceki,,Series Entrepreneur,Gulf Cooperation Council (GCC),,,1,
Hala Ahmed Sulaiman,https://www.crunchbase.com/person/hala-ahmed-sulaiman,Co-Founder and Managing Director,Alrawi Media,https://www.crunchbase.com/organization/alrawi-media,"Bahrain, Asia","389,557",https://www.linkedin.com/in/hala-ahmed-sulaiman-a34a477/,Hala Ahmed,Sulaiman,Female,Alrawi Media,,,Gulf Cooperation Council (GCC),,,1,
Najib Rahal,https://www.crunchbase.com/person/najib-rahal,Chief Information Officer,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","395,862",https://www.linkedin.com/in/najib-rahal-128a487/,Najib,Rahal,Male,Investcorp,,"Najib Rahal joined Investcorp in 2014 from Deloitte & Touche Middle East, where he was accountable for IT governance and strategy management. Prior to that, he worked with Accenture and Devoteam, both in France. Najib holds a Bachelor in Computer and Communication Engineering from l'École supérieure d'ingénieurs en informatique et génie des télécommunications and Masters in Computer Networks both from Institut National de la Communication et de L'information.",Gulf Cooperation Council (GCC),,ESIGELEC - School of Electrical Engineering,,
Ali Alrahma,https://www.crunchbase.com/person/ali-alrahma,Principal,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","396,413",http://www.linkedin.com/in/alialrahma,Ali,Alrahma,Male,Investcorp,,,Gulf Cooperation Council (GCC),,Emory University’s Goizueta Business School,,
Akash Munjal,https://www.crunchbase.com/person/akash-munjal,General Manager,ThinkSmart,https://www.crunchbase.com/organization/thinksmart-e91e,"Bahrain, Asia","402,003",https://www.linkedin.com/in/aakashmunjal/,Akash,Munjal,Male,ThinkSmart,,Akash Munjal is the General Manager of ThinkSmart.,Gulf Cooperation Council (GCC),,,,
Adeel Abid,https://www.crunchbase.com/person/adeel-abid,,,,"Manama, Al Manamah, Bahrain","403,711",https://www.linkedin.com/in/adeel-abid-ba4316170/,Adeel,Abid,Male,Kumlaudi,,,Gulf Cooperation Council (GCC),,"York University, Canada",2,
